plot_size_hectares,soil_ph,soil_type,planned_crop_family,planned_nitrogen_demand,ph_distance_from_ideal,soil_type_match,same_family_repeat_count,heavy_feeder_streak,seasons_since_nitrogen_fixer,rotation_length,planned_crop,previous_crops,risk_level,should_rotate,risk_score
1.34,7.37,sandy,allium,2,0.37,1,0,0,4,4,onion,onion|broccoli|lettuce|carrot,medium,0,2.47
43.62,7.89,loam,legume,1,0.89,1,2,0,0,3,soybean,potato|peas|beans,medium,1,3.87
43.58,5.16,loam,nightshade,3,0.84,1,0,0,2,2,tomato,lettuce|wheat,medium,0,2.75
49.06,6.51,clay,grain,2,0,1,0,0,0,4,wheat,beans|rice|cabbage|beans,low,1,0.3
17.35,7.58,silt,brassica,3,0.08,0,1,1,1,4,cabbage,wheat|tomato|clover|cabbage,high,1,5.63
26.04,7.67,loam,legume,1,0.17,1,1,0,0,2,peas,broccoli|clover,medium,1,2.1
15.76,7.85,sandy,nightshade,2,1.05,1,0,0,0,2,pepper,tomato|peas,low,0,0.83
47.02,7.11,loam,brassica,3,0,1,0,0,2,2,cabbage,tomato|pepper,low,0,1.89
10.59,7.58,sandy,nightshade,2,1.08,1,0,0,0,2,potato,broccoli|soybean,low,0,0.2
32.98,5.42,sandy,grain,2,0.58,0,0,1,1,3,wheat,onion|soybean|broccoli,medium,0,3.69
7.45,4.4,silt,brassica,3,1.6,0,0,1,3,3,cabbage,wheat|potato|tomato,high,0,6.37
20.04,4.83,clay,legume,1,1.17,1,0,0,1,3,clover,onion|clover|wheat,low,0,0.82
40.23,7.19,silt,grain,3,0.19,1,0,0,1,2,corn,clover|lettuce,low,0,1.58
27.99,5.56,silt,brassica,3,0.44,0,0,1,2,3,cabbage,clover|pepper|tomato,high,0,4.67
44.87,7.4,silt,nightshade,2,0.9,0,0,0,0,1,potato,soybean,medium,0,2.38
12.04,6.09,sandy,legume,1,0,0,1,0,0,1,soybean,peas,medium,1,2.39
4.12,4.85,silt,umbellifer,1,1.15,0,0,0,0,1,carrot,soybean,medium,0,2.48
10.42,6.01,clay,aster,2,0,0,0,1,4,4,lettuce,cabbage|tomato|potato|corn,high,0,4.74
19.56,8.03,silt,nightshade,2,1.23,0,0,1,3,3,pepper,pepper|onion|cabbage,high,0,5.64
19.5,7.08,silt,umbellifer,1,0.28,0,0,0,1,1,carrot,potato,low,0,1.21
26.75,8.1,clay,grain,2,1.1,1,0,0,3,3,wheat,rice|lettuce|potato,medium,0,2.67
16.94,7.98,sandy,allium,2,0.98,1,0,0,2,4,onion,tomato|beans|lettuce|wheat,medium,0,2.41
2.7,8.29,loam,brassica,3,1.29,1,0,0,0,0,broccoli,,low,1,2
41.98,6.87,loam,grain,3,0.37,0,0,1,2,2,rice,wheat|cabbage,medium,0,4.35
12.89,5.79,clay,allium,2,0.21,0,0,1,2,3,onion,beans|wheat|cabbage,medium,0,4.38
19.89,7.27,clay,brassica,3,0,1,0,0,1,3,cabbage,broccoli|soybean|wheat,low,0,1.28
34.24,7.66,clay,legume,1,0.16,0,1,0,0,2,peas,broccoli|peas,medium,1,3.71
41.13,4.65,sandy,brassica,3,1.35,0,0,2,4,4,broccoli,potato|carrot|rice|tomato,high,1,7.84
26.14,7,silt,nightshade,2,0.5,0,0,1,2,2,potato,carrot|cabbage,medium,0,3.96
44.09,5.25,silt,brassica,3,0.75,0,0,1,1,3,cabbage,tomato|peas|corn,high,0,5.46
24.43,5.73,sandy,legume,1,0.27,0,0,1,1,1,peas,cabbage,medium,1,2.97
4.37,7.3,silt,nightshade,2,0.5,0,0,1,3,3,pepper,carrot|potato|broccoli,medium,0,4.04
0.96,5.47,silt,umbellifer,1,0.53,0,0,1,1,1,carrot,broccoli,medium,0,2.73
37.32,5.62,silt,legume,1,0.38,0,0,0,1,2,beans,soybean|wheat,low,0,1.37
37.17,8.29,loam,legume,1,1.29,1,0,0,1,1,soybean,potato,low,0,1.3
49.03,7.78,sandy,legume,1,0.78,0,0,1,1,2,soybean,beans|corn,medium,0,4.31
2.37,4.43,sandy,umbellifer,1,1.57,1,0,0,4,4,carrot,broccoli|lettuce|onion|potato,medium,0,2.93
17.1,8.35,sandy,aster,2,1.35,0,0,0,2,2,lettuce,lettuce|wheat,medium,0,3.34
31.51,4.43,loam,allium,2,1.57,1,0,0,1,2,onion,beans|wheat,medium,0,2.36
39.56,5.17,silt,nightshade,2,0,0,1,2,3,4,potato,beans|lettuce|cabbage|tomato,high,1,7.39
31.09,6.82,clay,allium,2,0,0,0,0,0,1,onion,soybean,low,0,1.38
7.91,5.96,silt,legume,1,0.04,0,0,0,0,0,beans,,low,0,1.28
42.99,4.51,loam,legume,1,1.49,1,0,0,1,1,clover,onion,low,0,0.97
27.27,6.98,sandy,aster,2,0,0,0,1,1,1,lettuce,corn,medium,0,2.68
37.47,6.65,sandy,nightshade,2,0.15,1,0,0,1,1,potato,carrot,low,0,0.72
21.94,6.77,silt,umbellifer,1,0,0,0,1,1,2,carrot,beans|corn,medium,0,3.47
41.81,6.67,clay,allium,2,0,0,0,2,2,3,onion,beans|cabbage|corn,high,1,5.23
22.17,5.4,silt,brassica,3,0.6,0,0,0,0,3,broccoli,wheat|potato|peas,low,0,1.91
5.32,4.89,silt,umbellifer,1,1.11,0,0,2,2,2,carrot,broccoli|tomato,high,1,5.98
15.79,5.59,silt,aster,2,0.41,1,0,2,2,2,lettuce,corn|broccoli,medium,1,3.83
23.15,4.43,sandy,brassica,3,1.57,0,0,0,3,3,cabbage,broccoli|potato|onion,high,0,4.7
44.05,6.28,clay,brassica,3,0,1,0,1,2,3,broccoli,soybean|carrot|rice,medium,0,3.25
4.75,8.47,clay,nightshade,2,1.97,0,1,0,4,4,potato,broccoli|lettuce|rice|potato,high,1,6.83
20.83,6.27,silt,legume,1,0,1,0,2,2,2,soybean,rice|tomato,medium,1,3.6
30.01,7.41,loam,aster,2,0.41,1,0,0,0,0,lettuce,,low,0,0.9
13.43,4.21,sandy,aster,2,1.79,0,0,0,2,2,lettuce,broccoli|potato,medium,0,2.47
24.27,5.63,silt,nightshade,2,0,0,0,0,0,4,potato,lettuce|soybean|carrot|soybean,high,0,1.01
23.7,8.13,silt,nightshade,3,1.33,0,0,2,4,4,tomato,onion|lettuce|broccoli|rice,high,1,7.27
1.95,6.36,sandy,aster,2,0,0,1,0,1,1,lettuce,lettuce,medium,1,2.92
36.15,5.96,loam,grain,2,0.04,1,0,0,0,2,wheat,beans|peas,low,0,0.7
4.11,5.61,silt,legume,1,0.39,1,0,0,2,3,peas,clover|onion|potato,low,0,1.22
46.05,8.49,clay,nightshade,3,1.69,0,0,0,4,4,tomato,onion|broccoli|carrot|lettuce,high,0,4.64
15.04,4.32,sandy,allium,2,1.68,1,0,0,0,0,onion,,low,0,1.34
34.12,4.97,loam,grain,2,1.03,1,0,3,3,3,wheat,tomato|cabbage|broccoli,high,1,7.42
45.65,4.82,silt,brassica,3,1.18,0,0,0,0,1,broccoli,beans,medium,0,2.1
27.38,4.52,sandy,brassica,3,1.48,0,0,1,1,1,cabbage,tomato,medium,0,3.77
15.18,8.5,silt,grain,2,1.5,0,0,1,1,1,wheat,cabbage,high,0,4.18
19.85,4.23,clay,legume,1,1.77,1,1,0,0,3,clover,potato|lettuce|clover,medium,1,3.61
38.81,5.19,sandy,legume,1,0.81,0,0,1,1,3,soybean,cabbage|beans|broccoli,medium,0,3.58
4.95,6.9,clay,legume,1,0,0,1,0,0,3,beans,corn|cabbage|peas,low,1,1.78
4.6,5.47,silt,grain,3,0.03,1,0,0,1,1,rice,onion,low,0,0
41.54,5.3,silt,allium,2,0.7,0,0,0,1,1,onion,lettuce,low,0,1.97
48.15,4.81,loam,aster,2,1.19,1,1,0,3,3,lettuce,broccoli|tomato|lettuce,high,1,4.54
0.79,6.51,silt,legume,1,0,1,0,1,1,3,peas,broccoli|beans|cabbage,low,0,1.36
18.64,7.1,silt,grain,3,0.1,1,0,0,0,3,corn,pepper|peas|clover,low,0,0.21
35.08,6.99,clay,grain,3,0.49,1,0,0,0,0,rice,,low,1,0.64
5.89,5.21,loam,nightshade,3,0.79,1,0,0,2,2,tomato,broccoli|carrot,low,0,1.99
44.28,7.02,silt,brassica,3,0,0,0,1,1,2,cabbage,beans|corn,medium,0,2.99
22.29,5.22,sandy,grain,2,0.78,0,0,1,1,4,wheat,peas|pepper|clover|broccoli,medium,0,3.54
42.42,6.16,loam,brassica,3,0,1,0,0,3,3,broccoli,corn|corn|onion,medium,0,2.47
39.37,5.08,loam,brassica,3,0.92,1,0,0,1,1,cabbage,lettuce,medium,0,2.05
13.94,8.43,loam,nightshade,2,1.63,1,0,1,1,1,pepper,rice,high,0,4.63
6.68,5.74,loam,brassica,3,0.26,1,0,0,0,2,cabbage,rice|beans,low,0,1.94
23.86,7.55,clay,nightshade,2,1.05,0,0,2,2,2,potato,cabbage|corn,high,1,6.36
45.45,7.03,sandy,nightshade,2,0.53,1,1,0,3,3,potato,corn|corn|potato,medium,1,4.19
35.65,6.11,clay,legume,1,0,0,1,0,0,3,peas,wheat|rice|beans,medium,1,2.28
29.31,7.26,silt,brassica,3,0,0,0,0,2,2,cabbage,potato|pepper,medium,0,2.38
32.58,7.51,loam,nightshade,3,0.71,1,1,1,1,2,tomato,soybean|tomato,high,1,4.9
22.73,5.99,clay,legume,1,0.01,0,1,0,0,2,peas,broccoli|beans,medium,1,2.56
3.45,7.78,clay,nightshade,3,0.98,0,0,0,0,0,tomato,,medium,0,2.83
27.86,6.72,sandy,brassica,3,0,0,0,0,0,1,broccoli,peas,medium,0,2.8
2.67,5.44,sandy,legume,1,0.56,0,0,0,1,1,peas,pepper,low,0,0.83
11.29,4.67,sandy,grain,2,1.33,0,0,0,1,3,wheat,cabbage|soybean|onion,medium,0,2.17
33.78,6.59,sandy,grain,3,0,0,0,0,1,1,corn,carrot,medium,0,2.53
17.62,4.98,loam,brassica,3,1.02,1,0,0,3,3,cabbage,wheat|rice|carrot,medium,0,2.72
21.05,5.67,sandy,legume,1,0.33,1,0,2,3,3,beans,onion|cabbage|cabbage,medium,1,4.35
2.73,4.88,clay,brassica,3,1.12,1,0,0,0,0,broccoli,,low,0,1.11
10.86,6.4,sandy,nightshade,3,0,0,0,1,1,1,tomato,broccoli,medium,0,3.92
33.39,4.4,silt,brassica,3,1.6,0,0,0,0,0,cabbage,,medium,0,3.49
14.54,4.72,silt,umbellifer,1,1.28,0,0,2,2,2,carrot,rice|tomato,high,1,7.21
11.58,6.6,sandy,grain,2,0,0,1,1,2,2,wheat,carrot|corn,high,1,4.89
15.72,6.05,silt,umbellifer,1,0,0,0,1,2,3,carrot,beans|wheat|tomato,medium,1,3.56
40.09,6.86,sandy,grain,2,0,0,0,0,0,2,wheat,wheat|soybean,low,0,0.84
37.32,5.15,loam,grain,2,0.85,1,0,0,2,2,wheat,wheat|pepper,medium,0,2.12
17.53,7.33,loam,legume,1,0.33,1,1,0,0,1,soybean,beans,medium,1,2.33
32.81,4.96,silt,nightshade,2,0,0,1,0,3,3,potato,onion|cabbage|potato,high,1,5.17
44.11,6.96,sandy,aster,2,0,0,0,0,3,4,lettuce,peas|rice|potato|wheat,low,0,1.77
17.66,4.52,silt,nightshade,2,0.28,0,0,0,0,0,potato,,low,0,1.79
32.27,8.4,clay,brassica,3,0.9,1,0,0,2,2,cabbage,tomato|potato,high,0,1.02
32.63,5.58,silt,nightshade,2,0,0,0,1,1,1,pepper,corn,medium,0,2.58
41.89,8.42,clay,nightshade,2,1.62,0,0,0,1,3,pepper,corn|soybean|carrot,medium,0,2.5
18.71,5.42,silt,allium,2,0.58,0,0,2,2,2,onion,cabbage|corn,high,1,5.91
32.4,4.48,clay,nightshade,2,1.02,0,0,0,1,3,pepper,beans|beans|carrot,medium,0,3.54
4.17,7.05,sandy,legume,1,0.05,1,0,3,4,4,beans,carrot|broccoli|tomato|rice,high,1,4.9
46.91,5.53,silt,brassica,3,0.47,0,1,2,3,3,broccoli,lettuce|rice|broccoli,high,1,7.75
45.63,4.6,silt,nightshade,2,0.9,0,0,0,0,2,pepper,peas|beans,low,0,0.73
47.39,6.29,loam,grain,3,0,0,0,0,0,1,rice,beans,low,0,1.95
44.2,4.36,sandy,legume,1,1.64,0,0,3,3,3,clover,rice|cabbage|tomato,high,1,7.78
9.12,7.18,loam,umbellifer,1,0.38,1,0,0,0,2,carrot,tomato|peas,low,0,0.11
37.45,6.13,loam,legume,1,0,1,0,0,1,4,beans,onion|potato|clover|lettuce,low,0,0
28.56,6.09,sandy,allium,2,0,1,0,1,2,2,onion,pepper|tomato,medium,0,3.78
12.58,6.96,sandy,nightshade,2,0.16,1,0,0,4,4,pepper,carrot|lettuce|pepper|lettuce,low,0,1.9
8.1,6.13,loam,aster,2,0,1,0,0,0,2,lettuce,clover|soybean,low,0,0.91
19.88,5.81,silt,grain,2,0.19,0,0,0,0,2,wheat,corn|peas,low,0,0.41
32.53,7.6,loam,grain,3,0.6,1,0,0,1,1,corn,lettuce,low,0,0.57
30.81,8.1,clay,legume,1,1.1,0,0,1,1,1,beans,rice,medium,0,3.97
26.44,4.68,sandy,legume,1,1.32,0,1,0,0,2,soybean,corn|soybean,medium,1,2.92
5.63,8.09,clay,brassica,3,1.09,1,0,0,1,2,broccoli,soybean|carrot,medium,0,2.59
30.78,5.23,silt,grain,3,0.27,1,0,0,0,3,rice,wheat|pepper|peas,low,0,1.68
27.75,5.88,silt,grain,3,0,1,0,0,1,3,corn,peas|beans|carrot,low,1,1.5
17.31,7.35,clay,allium,2,0.35,0,0,0,0,2,onion,onion|peas,medium,0,2.05
41.54,7.14,silt,brassica,3,0.14,0,0,1,1,1,broccoli,rice,medium,0,4.23
22.94,5.46,clay,allium,2,0.54,0,0,1,1,1,onion,corn,medium,0,3.52
23.72,4.36,loam,legume,1,1.64,1,0,1,2,2,beans,onion|corn,medium,0,4.09
6.31,5.78,silt,umbellifer,1,0.22,0,0,0,0,2,carrot,tomato|peas,low,0,1.87
26.01,7.64,silt,grain,2,0.64,0,1,1,2,2,wheat,lettuce|rice,high,1,5.9
16.13,4.54,sandy,legume,1,1.46,1,0,1,2,2,beans,carrot|tomato,medium,0,3.79
45.59,6.84,silt,legume,1,0,0,0,0,3,3,beans,onion|corn|wheat,medium,0,2.76
25.7,7.42,loam,grain,3,0.42,1,0,1,1,1,corn,cabbage,medium,0,2.75
32.29,5.76,clay,brassica,3,0.24,1,0,0,1,1,cabbage,potato,low,0,0.81
38.18,6.67,sandy,nightshade,3,0,0,0,0,0,2,tomato,beans|soybean,low,0,1.93
45.69,4.71,sandy,umbellifer,1,1.29,1,0,0,0,2,carrot,cabbage|beans,low,0,1
10.09,4.78,clay,nightshade,2,0.02,0,0,0,1,1,potato,carrot,low,0,1.57
16.05,5.69,clay,nightshade,2,0,0,0,0,0,2,pepper,clover|beans,low,0,1.49
46.37,6.94,sandy,nightshade,2,0.14,1,0,0,0,1,pepper,soybean,low,0,0.63
28.66,6.21,loam,brassica,3,0,1,0,0,2,4,cabbage,wheat|beans|tomato|carrot,low,0,1.17
38.48,7.74,clay,grain,3,1.24,1,0,0,4,4,rice,broccoli|wheat|potato|potato,medium,0,3.16
32.03,4.98,loam,nightshade,3,1.02,1,0,1,2,2,tomato,lettuce|corn,medium,0,3.42
15.28,4.9,loam,legume,1,1.1,1,0,0,1,4,peas,pepper|clover|beans|lettuce,low,0,1.63
31.29,6.84,clay,nightshade,2,0.04,0,0,3,3,3,pepper,cabbage|cabbage|rice,high,1,7.32
31.26,8.08,sandy,aster,2,1.08,0,0,1,4,4,lettuce,corn|lettuce|lettuce|corn,high,0,6.64
10.62,6.66,clay,nightshade,2,0.16,0,0,0,0,4,potato,pepper|beans|broccoli|beans,medium,0,2.24
34.28,5.48,clay,umbellifer,1,0.52,0,0,0,0,0,carrot,,low,0,0.77
15.7,7.29,sandy,nightshade,3,0.49,0,0,0,0,1,tomato,peas,medium,0,2.45
12.16,4.73,silt,legume,1,1.27,1,0,1,1,1,soybean,corn,medium,0,2.77
43.28,4.89,sandy,legume,1,1.11,0,2,0,0,2,clover,peas|soybean,high,1,6.06
24.96,6.41,silt,legume,1,0,1,0,0,2,2,clover,corn|wheat,low,0,1.47
17.71,4.42,silt,brassica,3,1.58,0,0,0,0,4,cabbage,broccoli|broccoli|potato|beans,medium,0,2.82
21.6,7.99,sandy,allium,2,0.99,1,0,2,2,2,onion,corn|tomato,high,1,5.72
14.5,5.86,silt,allium,2,0.14,0,0,1,2,2,onion,lettuce|cabbage,medium,0,4.06
48.76,5.89,sandy,nightshade,2,0,1,0,1,1,4,pepper,onion|rice|soybean|cabbage,low,1,1.59
16.72,6.24,silt,grain,3,0,1,0,0,0,3,rice,pepper|rice|peas,low,0,0.76
19.71,6.85,sandy,brassica,3,0,0,0,0,2,2,cabbage,lettuce|pepper,low,0,1.68
18.48,7.1,silt,brassica,3,0,0,0,0,1,2,cabbage,clover|carrot,medium,0,2.01
29.89,5.34,loam,umbellifer,1,0.66,1,0,0,0,0,carrot,,low,0,0
19.07,7.73,loam,grain,3,0.73,1,1,0,2,2,corn,carrot|wheat,medium,1,4.07
22.11,6,silt,umbellifer,1,0,0,0,0,1,1,carrot,pepper,low,0,1.61
3.21,4.79,loam,nightshade,2,0.71,1,1,0,2,2,pepper,broccoli|potato,medium,1,2.23
15.76,4.94,sandy,nightshade,2,0.56,1,0,0,2,2,pepper,onion|lettuce,low,0,1.49
9.69,5.26,sandy,legume,1,0.74,0,0,0,1,4,soybean,beans|onion|beans|carrot,low,0,1.14
15.92,5.7,sandy,legume,1,0.3,1,0,1,1,1,beans,broccoli,low,0,0.91
38.68,4.83,clay,legume,1,1.17,0,0,0,1,4,beans,wheat|peas|clover|potato,low,0,1.99
10.78,7.76,sandy,legume,1,0.76,0,0,1,1,2,clover,beans|rice,medium,0,4.27
45.27,5.17,loam,grain,3,0.63,1,0,0,0,1,corn,peas,low,0,1.93
38.56,4.22,loam,nightshade,3,1.78,1,1,0,1,3,tomato,clover|clover|potato,medium,1,4.03
16.13,6.98,clay,brassica,3,0,1,0,0,2,2,broccoli,pepper|carrot,low,0,1.66
45.67,4.95,loam,legume,1,1.05,1,0,0,4,4,clover,lettuce|tomato|onion|potato,medium,0,2.83
1.97,5.48,clay,legume,1,0.52,1,0,0,3,4,clover,beans|potato|broccoli|pepper,medium,0,2.53
6.8,6.37,sandy,legume,1,0,0,0,0,2,3,soybean,peas|rice|carrot,low,0,1.35
39.56,6.64,loam,grain,3,0.14,0,0,1,1,3,rice,broccoli|clover|tomato,medium,0,3.93
4.43,7.08,loam,grain,3,0.58,0,0,0,0,2,rice,clover|soybean,medium,0,2.85
16.55,6.7,clay,legume,1,0,0,0,1,1,3,beans,carrot|soybean|corn,medium,0,2.93
8.07,7.15,sandy,umbellifer,1,0.35,1,0,0,0,1,carrot,clover,low,0,0.81
23.96,6.16,sandy,nightshade,3,0,0,0,0,2,3,tomato,clover|potato|onion,medium,0,2.39
11,5.26,clay,nightshade,2,0.24,0,0,0,0,2,pepper,carrot|peas,medium,0,2.27
25.32,6.66,loam,grain,3,0.16,0,0,0,2,2,rice,pepper|potato,medium,0,3.09
29.2,4.59,silt,allium,2,1.41,0,0,0,0,0,onion,,medium,0,2.95
33.67,5.53,clay,nightshade,3,0.47,0,0,1,1,1,tomato,corn,high,0,4.53
2.36,5.68,clay,nightshade,2,0,0,0,0,0,4,pepper,clover|clover|wheat|clover,low,0,0.91
32.11,7.34,silt,legume,1,0,1,1,0,0,4,peas,tomato|potato|lettuce|clover,low,1,1.89
18.84,7.14,loam,brassica,3,0.14,1,0,1,4,4,broccoli,wheat|rice|pepper|tomato,low,0,3.06
48.93,6.19,silt,nightshade,2,0,0,0,0,0,2,pepper,soybean|soybean,low,0,1.23
9.51,7.96,clay,grain,3,0.96,0,0,0,3,3,corn,tomato|cabbage|onion,high,0,4.93
29.74,6.12,clay,legume,1,0,0,1,0,0,3,soybean,tomato|potato|soybean,medium,1,2.31
37.74,7.54,loam,nightshade,2,0.74,1,0,0,1,4,pepper,soybean|lettuce|clover|carrot,low,0,0.69
11.92,7.97,loam,nightshade,3,1.17,1,1,0,2,2,tomato,corn|pepper,medium,1,3.97
44,8.12,silt,nightshade,2,1.32,0,0,1,1,2,pepper,peas|broccoli,medium,0,3.86
7.55,5.82,silt,legume,1,0.18,1,0,0,2,3,soybean,beans|lettuce|carrot,low,0,0.02
2.98,5.97,silt,nightshade,2,0,0,0,0,0,2,pepper,tomato|soybean,low,0,1.38
18.62,6.5,loam,grain,3,0,1,0,1,1,1,corn,broccoli,low,0,3.24
9.49,7.48,loam,nightshade,2,0.98,1,0,0,0,1,potato,clover,low,1,0.43
48.11,4.7,silt,legume,1,1.3,1,0,1,1,1,clover,cabbage,medium,0,4.25
12.04,5.58,sandy,nightshade,3,0.42,0,0,0,0,2,tomato,broccoli|peas,low,0,1.93
40.16,7.31,sandy,legume,1,0.31,0,1,0,0,1,clover,peas,medium,1,3.58
28.17,5.15,loam,grain,3,0.65,1,0,0,0,1,corn,clover,low,0,0.49
11.58,6.65,loam,nightshade,2,0.15,1,0,0,0,2,potato,broccoli|peas,low,0,0.04
48.33,6.96,silt,nightshade,2,0.46,0,0,0,1,1,potato,onion,low,0,1.97
44.48,8.46,clay,nightshade,2,1.66,0,0,0,0,0,pepper,,medium,0,2.99
33.44,7.49,silt,grain,3,0.99,1,0,0,2,3,rice,soybean|wheat|carrot,medium,0,2.64
31.92,8.22,silt,brassica,3,1.22,0,0,0,2,2,broccoli,corn|pepper,high,0,3.92
36.14,6.5,sandy,grain,3,0,0,0,1,2,2,corn,carrot|broccoli,medium,0,2.81
26.27,5.24,sandy,aster,2,0.76,0,0,1,2,2,lettuce,onion|tomato,high,0,4.91
23,5.25,loam,legume,1,0.75,1,0,1,3,3,beans,lettuce|wheat|broccoli,medium,1,4.17
18.92,6.25,clay,umbellifer,1,0,0,0,0,1,1,carrot,potato,low,0,1.35
16.63,8.4,clay,legume,1,1.4,1,1,0,0,2,clover,corn|soybean,medium,1,3.21
23.83,4.4,clay,brassica,3,1.6,1,2,2,3,4,broccoli,clover|pepper|cabbage|broccoli,medium,1,11.05
0.88,5.09,loam,allium,2,0.91,1,0,0,0,3,onion,lettuce|tomato|clover,low,0,1.44
19.52,8.06,sandy,nightshade,3,1.26,0,0,0,3,3,tomato,rice|onion|carrot,medium,0,4.17
48.72,4.43,silt,legume,1,1.57,1,0,0,2,3,soybean,peas|cabbage|onion,low,0,1.45
31.74,7.57,silt,nightshade,2,1.07,0,1,0,1,1,potato,pepper,medium,1,3.93
21.65,7.12,silt,grain,2,0.12,0,0,0,0,3,wheat,beans|onion|soybean,low,0,1.44
31.73,7.38,sandy,legume,1,0,0,0,1,1,1,peas,corn,medium,0,2.66
38.09,4.64,clay,grain,3,0.86,1,0,0,2,2,rice,pepper|pepper,medium,0,2.01
29.89,7.57,silt,grain,3,0.57,1,0,1,1,1,corn,tomato,medium,0,3.13
28.02,8.47,loam,brassica,3,0.97,1,0,2,2,2,cabbage,broccoli|tomato,high,1,5.61
7.38,4.92,sandy,nightshade,3,1.08,0,0,0,1,1,tomato,onion,medium,0,3.48
12.4,6.89,loam,nightshade,2,0.39,1,0,0,0,1,potato,beans,low,0,1.31
43.12,6.09,silt,aster,2,0,1,0,3,3,3,lettuce,broccoli|cabbage|rice,high,1,6.13
30.2,7.19,silt,legume,1,0,1,0,1,1,1,peas,tomato,medium,0,2.39
28.84,5.24,silt,legume,1,0.76,0,0,0,1,3,beans,tomato|peas|wheat,low,0,1.91
49.86,4.97,clay,umbellifer,1,1.03,0,0,0,0,2,carrot,carrot|soybean,low,0,1.36
